serial,epoch,batchsize,filter,first_conv_kernel,second_conv_kernel,output_height,output_width,dense_layer,max_core,driver_core,executor_cores,task_cpus,executor_instances,driver_memory,executor_memory,memory_fraction,storage_fraction,parallelism,dataLoadingTime,dataShuffleTime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,dataValidationTime,Just random string,first_conv_flops,first_pool,first_relu,second_conv_flops,second_pool,second_relu,dense_layer_1,dense_layer_2,total_flops_per_epoch
1,1,2000,5,4,4,4,4,100,1,1,1,1,1,1g,4g,1,0,1,992029194,23099177,183049807,211038814,2744367,397357755,23928926,1905836,0,1284755291,InstrumentationResult,163072,2304,2304,116352,576,576,13000,2020,600408000
2,1,2000,5,4,4,4,4,200,1,1,1,1,1,1g,4g,1,0,1,818283089,24072537,183334031,201156529,2981695,387991311,24954101,1855773,0,1375716964,InstrumentationResult,163072,2304,2304,116352,576,576,26000,4020,630408000
3,1,2000,5,4,4,4,4,300,1,1,1,1,1,1g,4g,1,0,1,812564136,19999672,189522882,210677170,2623251,403340050,23927309,1810076,0,1271651882,InstrumentationResult,163072,2304,2304,116352,576,576,39000,6020,660408000
4,1,2000,5,4,4,4,4,400,1,1,1,1,1,1g,4g,1,0,1,739165362,21209263,176755352,209014154,2589609,394750223,23366700,1823627,0,1346675932,InstrumentationResult,163072,2304,2304,116352,576,576,52000,8020,690408000
5,1,2000,5,4,4,4,4,500,1,1,1,1,1,1g,4g,1,0,1,835945433,22929746,186163229,211439922,2628068,400701391,23862511,1877844,0,1399222441,InstrumentationResult,163072,2304,2304,116352,576,576,65000,10020,720408000
6,1,2000,5,4,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,850443976,24643596,194074896,225425372,2165873,422211168,25645228,2032850,0,1341690031,InstrumentationResult,163072,2304,2304,232704,1152,1152,25800,2020,861016000
7,1,2000,5,4,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,808891967,22149982,197442362,224925275,2906540,425806566,31400768,1839930,0,1370978625,InstrumentationResult,163072,2304,2304,232704,1152,1152,51600,4020,916616000
8,1,2000,5,4,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,732340614,24528938,190788531,218718051,2570020,412575083,28799582,1866941,0,1397159258,InstrumentationResult,163072,2304,2304,232704,1152,1152,77400,6020,972216000
9,1,2000,5,4,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,820555422,22901347,182897325,199121443,2830982,390795614,23657380,1856134,0,1357684129,InstrumentationResult,163072,2304,2304,232704,1152,1152,103200,8020,1027816000
10,1,2000,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,820260919,24548548,206015180,235060845,2739776,444324226,29660429,1952717,0,1451928856,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,1083416000
