epoch,batchsize,datasize,modelSize,Modelparam_1,Modelparam_2,Modelparam_3,Modelparam_4,Modelparam_5,Modelparam_6,Modelparam_7,Modelparam_8,max_core,driver_core,executor_cores,task_cpus,executor_instances,dataLoadingtime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,AllReduceNormalized,dataValidationTime,totaltime
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,1,1,1,1,1,888424572,164821615,191740425,1646397,358678261,17788695,1602442,0,2252126,1830629578,27226511636
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,2,1,1,1,1,998434125,91944432,103272621,734942,196405543,8993325,1520480,0,2523098,1924413987,30177843472
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,1,945600957,61454081,70275410,613492,132796549,7484009,1570912,0,2297328.667,2131713895,32029380430
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,1,889412433,47220541,52427428,506822,100541518,5192328,1488299,0,2018302,2083147805,33566023084
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,1,880778737,38598236,40706499,308565,80039687,4554176,1549705,0,1857820.8,2037981311,32798652165
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,2,1,1,1,2,916766943,102202714,112789217,1227326,216732098,13874533,1816565,0,13221539,1094820852,20398752834
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,2,1010800302,65338566,72279208,851328,141701349,11721068,1640045,0,11715136,1426867127,25357207692
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,2,957466563,51220536,55174951,723910,107613914,11647368,1715979,0,11986324,1151407068,22469552330
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,2,994702706,41094690,43593202,529712,85653216,10763617,2839563,0,14897930,1608405652,27025184181
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,3,1134244725,68079194,75416213,1064316,145062926,13501012,1952098,0,14307411.33,884041887,17493720122
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,3,908548436,53437783,57914899,702088,112540190,20065060,1738522,0,13520808.25,1206186287,23066874132
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,3,1008111419,43492645,46765675,617144,91314292,12544853,1733215,0,16112435.8,1007009750,21813191781
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,4,940469716,51646089,55484601,761505,108511893,14388116,1708913,0,15044472.75,728798591,15660388138
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,4,1029967876,43264524,46257999,597388,90642005,14170137,2038821,0,15268161.8,1175215673,20762380059
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,5,1001866229,43469469,46825792,806779,91592682,15765321,2087218,0,16254672,686946672,15897207050
10,1500,60000,196240,652288,9216,9216,461952,576,576,39000,6020,30,4,3,1,10,1232314314,21480915,18852011,98880,42001265,29032752,2910953,687757,23620853.4,346290818,101693542558
1,1200,60000,1854800,326144,4608,4608,7409664,18432,18432,409800,2020,30,4,10,1,1,1028570677,68541045,40826722,97598,121405477,22556547,3937850,2762087,6519002,816004504,16796578795
7,1200,60000,92400,1304576,18432,18432,922752,576,576,13000,2020,30,4,10,1,3,975944726,36593391,26498311,66419,76315203,10742053,865788,714634,9729338,557483565,81313555260
