epoch,batchsize,datasize,modelSize,Modelparam_1,Modelparam_2,Modelparam_3,Modelparam_4,Modelparam_5,Modelparam_6,Modelparam_7,Modelparam_8,max_core,driver_core,executor_cores,task_cpus,executor_instances,dataLoadingtime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,AllReduceNormalized,dataValidationTime,totaltime
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,1,1,1,1,1,1332278904,175297411,201992883,1741304,379565594,20549433,6437485,0,2229573,1892033375,28720435549
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,2,1,1,1,1,967211209,93203514,107185691,963877,201866316,9329235,1704859,0,2567028,1931752700,30793134410
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,1,781906367,62067302,70080395,656040,133274018,7460473,1399414,0,2215400,2045459400,31578452260
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,1,905340785,47016285,51596275,510062,99508861,7670536,1460371,0,2031647.25,1997647664,33494031087
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,1,1007893290,39478321,42158333,370482,82420266,4346119,1570715,0,1817665.6,2244219328,34861207651
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,2,1,1,1,2,982443125,101077110,114158531,1364031,217206110,12371944,1887164,0,13370061.5,1095338671,20561283496
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,2,1034340918,65731162,71994597,846784,139035637,11244563,1706554,0,11763011,1445822127,25533138587
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,2,1037573383,52041430,55262683,656436,108419270,12331397,1737021,0,12355648.25,1185977636,22742664415
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,2,973510174,40554178,42687850,548758,84256338,11656186,1685393,0,11381583.2,1574408629,26208531572
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,3,1,1,1,3,947145876,69629511,76995078,1034870,148211408,12879867,7170668,0,13748930,876601757,17155167071
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,3,954981888,51839765,56259377,768832,109320252,12402754,1902484,0,13458013.75,1186406850,22479843479
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,3,909746117,43516944,44778653,538243,89343599,13284785,2040686,0,13708894.6,1052033167,20952530610
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,4,1,1,1,4,1115982032,53158254,57521535,711612,111909266,15450845,1983180,0,14840430.75,735048634,15840938782
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,4,1005625291,42862171,45479076,613291,89489607,14927289,1947761,0,15732094.6,991247276,19492294847
1,1200,60000,421840,244608,3456,3456,521856,1728,1728,96500,5020,5,1,1,1,5,1060626820,44240762,45753835,709107,91218122,15990131,2071973,0,16506337.4,669191071,16500108637
